,0_RfR 0,1_RfR 0,2_RfR 0,3_RfR 0,4_RfR 0,EWS_DaysToThreat,A.1_DikeIncrease 0,A.2_DikeIncrease 0,A.3_DikeIncrease 0,A.4_DikeIncrease 0,A.5_DikeIncrease 0,Expected Annual Damage,Dike Investment Costs,RfR Investment Costs,Evacuation Costs,Expected Number of Deaths
226,1,0,1,1,0,1,0,3,3,0,2,11567616.448131055,99618961.98211673,236500000.0,120.58931685592418,0.0006805031960161979
227,0,0,1,0,0,0,2,3,3,7,4,1236881.491849215,156934703.5902599,30700000.0,0.0,0.000382665360500133
228,1,0,0,1,0,1,0,2,4,2,2,12392386.578650653,104132105.40098126,205800000.0,101.63558512146098,0.0013537259215836064
229,1,0,1,0,0,0,0,0,0,2,2,79086843.2263503,34910310.18717702,115300000.0,0.0,0.03058170258809849
230,1,0,0,1,0,1,0,3,4,0,2,14579519.255781144,101824309.0730618,205800000.0,145.2675332382471,0.0010178329562071254
231,0,1,0,1,0,0,0,1,3,0,1,36430986.39168638,87480368.48929916,339000000.0,0.0,0.009574365557711332
232,1,0,1,1,1,3,0,2,2,0,1,19639231.95559995,90023447.95647529,492600000.0,368.9932588004242,0.0006640026251735795
233,1,0,1,0,0,0,0,2,3,0,2,44522481.78098945,94594678.09051442,115300000.0,0.0,0.010004844376493337
234,1,0,0,0,0,1,0,1,3,0,1,88243056.45491093,87480368.48929916,84600000.0,833.9018046161486,0.008267328603679083
235,0,0,0,0,0,1,1,1,3,1,2,74933522.15269753,129037085.77460885,0.0,384.1764932361924,0.006722845008328033
236,1,1,1,1,0,0,0,2,3,2,2,6473968.658841919,101926758.3100362,454300000.0,0.0,0.00193334418807504
237,1,0,0,1,0,1,0,2,3,0,2,29175866.87667332,94594678.09051442,205800000.0,255.66629901982228,0.0031908036233441175
238,0,0,0,0,0,1,2,0,1,1,0,92835216.00712194,63875291.174089015,0.0,760.9809333227935,0.010215359740083209
239,0,0,0,0,0,1,2,1,3,1,2,31954961.572049174,133597387.91754901,0.0,272.1400908388571,0.0032369645489990213
240,1,0,0,1,0,0,0,3,4,0,1,18901393.146106075,99283293.19158028,205800000.0,0.0,0.004062031957443433
241,1,0,1,1,1,3,0,1,2,0,1,38092811.736590505,85450154.23674154,492600000.0,684.5450000912283,0.0013140984287554583
242,0,0,1,0,0,0,2,3,0,3,3,50553715.05488554,123902836.53919023,30700000.0,0.0,0.028216712795548465
243,0,0,1,0,0,0,2,0,3,2,2,51896130.28236586,96363545.87564048,30700000.0,0.0,0.015312230344761608
244,1,0,1,0,0,0,0,3,3,3,4,1820258.9189306563,113871256.26826663,115300000.0,0.0,0.0004903524259380509
245,0,0,1,0,0,2,2,0,2,0,2,71110667.59189275,87001251.40356107,30700000.0,1063.269045421031,0.002733107849825643
246,0,0,1,0,0,1,2,4,3,4,5,0.0,161183680.4911339,30700000.0,0.0,0.0
247,0,0,1,0,0,1,2,2,3,0,2,44522481.78098945,131849881.32761651,30700000.0,433.9508237891173,0.0036017439755376014
248,1,0,1,1,1,0,0,3,3,0,1,11337515.366524277,97077946.10063522,492600000.0,0.0,0.0023876299457089795
249,1,0,1,0,0,0,0,2,3,1,3,19667364.2148078,103688774.4749054,115300000.0,0.0,0.004993814880702319
250,1,0,1,1,1,1,0,2,3,0,2,13016695.333072979,94594678.09051442,492600000.0,122.20615526127102,0.0010770654728475193
251,1,0,0,1,0,0,0,2,3,2,2,18185050.914157063,101926758.3100362,205800000.0,0.0,0.0070962324936362535
252,0,0,1,0,0,1,2,0,3,2,2,51896130.28236586,96363545.87564048,30700000.0,428.4225275409601,0.005512402924114177
253,1,0,0,0,0,0,0,4,4,1,3,7942559.804047275,116434279.49456355,84600000.0,0.0,0.001409596830911604
254,1,0,0,1,1,1,0,3,4,0,1,14349418.174174372,99283293.19158028,461900000.0,138.8735275984408,0.00119687654064616
255,0,0,1,0,0,1,1,0,2,1,2,98805299.09613486,88761749.57028717,30700000.0,580.6877365725576,0.009234815519223158
256,1,0,0,0,0,0,0,3,4,2,3,15486620.35010929,111929685.36730832,84600000.0,0.0,0.00421850234914803
257,1,0,0,0,0,2,0,1,3,0,2,47726905.61231576,90021384.37078068,84600000.0,740.8120027926418,0.001706724861092513
258,1,0,0,1,1,0,0,3,4,0,2,10027544.28384944,101824309.0730618,461900000.0,0.0,0.002089938867149027
259,0,0,1,0,0,0,2,0,0,3,2,79086843.2263503,73286840.90136537,30700000.0,0.0,0.03058170258809849
260,0,1,1,1,1,1,0,3,0,2,2,48900529.35075795,82753009.75027713,625800000.0,329.9867129307945,0.009868008678984163
261,0,0,1,0,0,0,2,2,3,0,2,44522481.78098945,131849881.32761651,30700000.0,0.0,0.010004844376493337
262,0,0,1,0,0,0,2,0,2,1,3,55826738.51548649,96095347.78795207,30700000.0,0.0,0.01596926405526152
263,1,0,1,0,0,1,0,3,0,3,3,50553715.05488554,86647633.30208814,115300000.0,340.5055723360357,0.010158016606397445
264,1,0,1,1,0,0,0,2,3,3,2,6117284.784636098,103048085.78712247,236500000.0,0.0,0.001871123806329598
265,0,0,0,0,0,1,2,3,3,1,3,25830747.710731834,145968261.6036098,0.0,204.14267307788703,0.003641874365821359
266,0,0,1,0,0,1,1,0,2,3,2,94874690.86301422,90894356.95722897,30700000.0,540.4589299382955,0.008998283383443188
267,1,0,0,0,0,0,0,6,4,3,5,988550.9113084045,137578566.51931387,84600000.0,0.0,0.00018333533918921433
268,1,0,0,1,1,1,0,1,3,0,1,31927240.405378766,87480368.48929916,461900000.0,276.5573070340046,0.0031861246956171297
269,1,0,1,1,1,1,0,2,3,0,1,17338569.22339791,92053662.20903291,492600000.0,163.59348343450466,0.0015215640213200297
270,0,0,1,0,0,2,2,0,2,2,2,51896130.28236586,94333331.62308285,30700000.0,711.248336737922,0.0022968345517142418
271,1,0,1,1,1,0,0,3,3,1,2,3337454.1736278087,105939762.29178298,492600000.0,0.0,0.0005657792257750882
272,0,0,0,0,0,1,2,4,4,0,3,23714503.84431387,147368682.4219994,0.0,251.2254943100689,0.0013666299767511867
273,0,0,1,1,0,0,2,0,1,1,0,42265763.26383722,63875291.174089015,151900000.0,0.0,0.012483138156404372
274,0,0,0,0,0,0,2,1,4,0,2,47726905.61231576,129481934.69882782,0.0,0.0,0.011378165740616755
275,1,0,0,0,0,2,0,3,4,1,2,23134990.58366542,108145109.38272804,84600000.0,354.15654841082824,0.0008904126309120478
276,1,0,1,0,0,2,0,0,0,2,2,79086843.2263503,34910310.18717702,115300000.0,1015.2926504217936,0.004587255388214775
277,0,0,0,0,0,0,2,3,4,2,4,9867336.090184044,152210479.1192275,0.0,0.0,0.002584315329972618
278,1,0,1,1,1,0,0,1,2,0,1,38092811.736590505,85450154.23674154,492600000.0,0.0,0.01095082023962882
279,1,0,0,1,0,0,0,1,4,0,1,36430986.39168638,89685715.58024421,205800000.0,0.0,0.009574365557711332
280,1,0,1,1,1,3,0,3,2,1,2,5613024.746643818,103909548.03922534,492600000.0,100.96514711829988,0.0002238742934085009
281,0,0,0,0,0,0,2,3,3,1,3,25830747.710731834,145968261.6036098,0.0,0.0,0.01011631768283711
282,0,0,1,0,0,0,2,1,3,2,2,33670582.78279081,134608667.82740456,30700000.0,0.0,0.009897675542739386
283,1,0,1,1,0,0,0,2,3,0,1,21890544.19532962,92053662.20903291,236500000.0,0.0,0.004963941625981959
284,1,0,1,0,0,1,0,0,2,3,2,51896130.28236586,58199455.863067046,115300000.0,428.4225275409601,0.005512402924114177
285,1,0,1,1,1,0,0,0,1,0,0,45690077.831963085,20299287.62732069,492600000.0,0.0,0.012999967467367273
286,1,0,1,1,1,0,0,2,2,0,2,15317358.065275017,92564463.83795679,492600000.0,0.0,0.004298637019578413
287,1,0,1,1,1,1,0,3,0,3,3,48900529.35075795,86647633.30208814,492600000.0,329.9867129307945,0.009868008678984163
288,1,0,1,1,0,0,0,3,2,3,3,5687825.346301517,108815451.5008919,236500000.0,0.0,0.0032293796113149185
289,1,0,1,1,0,1,0,3,0,3,2,48983790.19321362,83874337.2273634,236500000.0,330.07826496723794,0.00989845835851081
290,1,0,1,1,0,0,0,2,2,0,1,27578369.541631136,90023447.95647529,236500000.0,0.0,0.008193321237296878
291,1,0,1,1,1,3,0,3,3,2,3,362278.15769592323,109724338.27636325,492600000.0,7.31147190763018,7.652348153124103e-06
292,1,0,1,0,0,1,0,0,2,1,2,55826738.51548649,56066848.47612524,115300000.0,468.6513341752223,0.005748935059894146
293,0,0,1,0,0,2,2,3,0,3,3,50553715.05488554,123902836.53919023,30700000.0,565.2924540734966,0.00423250691933227
294,0,0,0,0,0,1,2,3,4,4,4,6225488.181465543,154573594.26187077,0.0,50.57025669467234,0.0006963272836128386
295,1,0,0,1,0,0,0,2,4,0,2,23383202.54116691,96800025.18145949,205800000.0,0.0,0.005527460686718538
296,0,0,1,1,0,0,2,0,1,0,0,45920211.31605162,57554490.86442277,151900000.0,0.0,0.013063696739884098
297,0,0,0,0,0,2,2,3,5,1,2,23134990.58366542,147795330.20813262,0.0,354.15654841082824,0.0008904126309120478
298,1,0,0,0,0,0,0,5,5,4,4,3528700.7006120295,131280811.98071037,84600000.0,0.0,0.0010328464318080238
299,1,0,0,1,0,1,0,1,3,2,1,26208495.547193065,94812448.70882094,205800000.0,214.38900712354337,0.0028678168808109854
300,1,0,0,1,0,1,0,2,3,3,2,17828367.039951243,103048085.78712247,205800000.0,136.10459541288174,0.002532244360280692
301,1,0,1,1,0,1,0,2,3,2,2,6473968.658841919,101926758.3100362,236500000.0,53.459634889884306,0.0006960039077070143
302,1,0,0,0,0,0,0,3,4,3,3,11844772.44139079,113051012.8443946,84600000.0,0.0,0.003568429473655518
303,1,0,0,1,0,2,0,4,4,0,2,11567616.448131055,107340183.11017257,205800000.0,200.19710806159281,0.0002835429983400825
304,0,0,1,0,0,1,2,0,0,2,3,79086843.2263503,74938809.49900383,30700000.0,611.5645141364216,0.011009412931715454
305,1,0,0,0,0,2,0,3,4,1,3,14051817.057750354,110918405.45745277,84600000.0,211.110332384153,0.0004967478388863157
306,1,0,1,0,0,0,0,3,3,4,4,1236881.491849215,115113043.93382363,115300000.0,0.0,0.000382665360500133
307,0,0,0,0,0,1,1,1,3,2,2,69320424.76194717,130048365.68446438,0.0,327.2012664346769,0.006381704753302198
308,0,0,1,0,0,0,2,1,3,3,3,26008442.59603447,138503291.37921557,30700000.0,0.0,0.007849460447410223
309,1,0,0,0,0,0,0,1,3,2,2,26341864.181298804,97353464.59030245,84600000.0,0.0,0.008043956372147743
310,0,0,0,0,0,0,1,1,3,1,2,74933522.15269753,129037085.77460885,0.0,0.0,0.018674569467577867
311,1,0,0,0,0,1,0,3,4,3,4,6225488.181465543,116076603.3592117,84600000.0,50.57025669467234,0.0006963272836128386
312,0,0,0,0,0,0,2,3,5,3,4,6225488.181465543,155726824.18461627,0.0,0.0,0.0019342424544801068
313,0,0,1,0,0,1,2,0,2,1,2,55826738.51548649,93322051.71322732,30700000.0,468.6513341752223,0.005748935059894146
